_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,relevance,relevance:confidence,doc_title,passage,pid,qid,relevance_gold,statement,url
2011673238,False,finalized,3,11/15/2018 13:27:33,0,0.6667,I Corps,"First Army Corps (Spanish-American War). I Field Force, Vietnam (United States). I ANZAC Corps (Australia and New Zealand).",I Corps#24,25,,Australia participated In Vietnam War ,https://en.wikipedia.org/wiki/I Corps
2011673239,False,finalized,3,11/15/2018 13:24:24,0,1.0,Nicolas Hulot,"He is the founder and president of the Fondation Nicolas Hulot, an environmental group established in 1990. Hulot ran as a candidate in the primary for the Europe Ecology – The Greens party in 2011 eventually losing to Eva Joly. Hulot has refused to be a minister for Jacques Chirac, Nicholas Sarkozy and Francois Hollande.",Nicolas Hulot#1,41,,Jacques Chirac influences Nicolas Sarkozy ,https://en.wikipedia.org/wiki/Nicolas Hulot
2011673240,False,finalized,3,11/15/2018 17:02:05,3,0.6623,Forum Invest,"Joseph Stiglitz, Nobel Prize Laureate for Economics and former advisor of the USA President Bill Clinton.Gerhard Schroeder, former Chancellor of Germany.Lech Walesa, former President of Poland and Nobel Prize Laureate for Peace.",Forum Invest#22,52,,Gertrude B. Elion has Won Prize Nobel Prize Joseph Stiglitz has Won Prize Nobel Prize ,https://en.wikipedia.org/wiki/Forum Invest
2011673241,False,finalized,4,11/15/2018 13:20:57,0,1.0,Bill Gold,The Bridges of Madison County (1995). The Stars Fell on Henrietta (1995). The Old Curiosity Shop (1995).,Bill Gold#238,33,,Clint Eastwood acted In The Bridges of Madison County ,https://en.wikipedia.org/wiki/Bill Gold
2011673242,False,finalized,4,11/15/2018 13:14:59,5,0.7524,"International reactions to the United States presidential election, 2008","– Prime Minister José Sócrates described Barack Obama as giving ""an opportunity of change to the United States and the world. The voice of Barack Obama is a voice of hope."" He also said that Obama's victory ""represents possibilities for a new cycle of relations between the United States and Europe in the service of peace, cooperation and of a fairer and more regulated globalization.""","International reactions to the United States presidential election, 2008#381",28,,Barack Obama is Leader Of United States ,"https://en.wikipedia.org/wiki/International reactions to the United States presidential election, 2008"
2011673243,False,finalized,5,11/15/2018 13:22:08,0,1.0,Joseph Short,"1937 (December 27) Married Beth Campbell . 1941-1943 Correspondent for the Chicago Sun, Washington, D.C. 1943-1950 Correspondent for the Baltimore Sun, Washington, D.C. 1950-1952 Press Secretary to the President . 1952 (September 18) Died, Washington, D.C.",Joseph Short#7,46,,John F. Kennedy died On Date 1963-11-22 John F. Kennedy died In Dallas ,https://en.wikipedia.org/wiki/Joseph Short
2011673244,False,finalized,4,11/15/2018 16:32:12,0,1.0,Liberty's Kids,John Quincy Adams. Peggy Shippen (voiced by Maria Shriver) - A British Loyalist before she was married to Benedict Arnold. Thomas Adams.,Liberty's Kids#91,20,,Arnold Schwarzenegger is Married To Maria Shriver ,https://en.wikipedia.org/wiki/Liberty's Kids
2011673245,False,finalized,3,11/15/2018 13:27:33,5,0.6667,Antiquarian science books,"Special relativity. Einstein, Albert (Germany). Zur Elektrodynamik bewegter Körper (""On the Electrodynamics of Moving Bodies"") Leipzig, 1905>.",Antiquarian science books#405,11,,Albert Einstein is Known For Special relativity ,https://en.wikipedia.org/wiki/Antiquarian science books
2011673246,False,finalized,4,11/15/2018 17:02:01,5,1.0,Shooting of Trayvon Martin,"Democratic leaders in the Florida legislature, Senate Minority Leader Chris Smith and House Minority Leader Perry Thurston, also called on the governor to convene a special session of the legislature, in order to overhaul or possibly repeal the Stand Your Ground provisions of Florida's self-defense laws.Senator Smith said that the verdict in the Zimmerman trial showed the adverse effect of the Stand Your Ground law.On July 19, six days after the verdict, President Barack Obama gave an impromptu 20-minute speech in the White House Press Room, in which he spoke about the trial and about race relations in the United States.",Shooting of Trayvon Martin#540,28,,Barack Obama is Leader Of United States ,https://en.wikipedia.org/wiki/Shooting of Trayvon Martin
2011673247,False,finalized,3,11/15/2018 13:07:17,0,1.0,In the First Circle,"Henry Carlisle and Olga Carlisle.The First Circle, Aleksandr Solzhenitsyn (author), Thomas P. Whitney (translator), European Classics, pb.The Solzhenitsyn Reader: New and Essential Writings, 1947–2005: Aleksandr Solzhenitsyn, Edward E. Ericson, Jr., Daniel J. Mahoney.",In the First Circle#56,16,,Aleksandr Solzhenitsyn has Won Prize Nobel Prize ,https://en.wikipedia.org/wiki/In the First Circle
